"name","categery","doJOZc","Address","contact"
"Omkar Car Accessories","Auto bodywork mechanic","","Nagar, Ahilyanagar- Manmad Rd",""
"Mahindra Cornerstone Automobiles - SUV & Commercial Vehicle Showroom","Car dealer","","·","092251 44145"
"Saideep Automobiles Pvt Ltd - Hero MotoCorp","Two Wheeler Dealer","","·","092899 22485"
"Wasan Toyota","Toyota dealer","","·","096040 38234"
"Maruti Suzuki Arena (Mahalaxmi Automotives, Ahmednagar, Kedgaon Road)","Car dealer","","·","080 6251 2886"
"Kuldip Car Sajawat","Car stereo store","","·","098906 96181"
"J D Auto Sales","Auto parts store","","5/6 Rangbhavan, Sarjepura Rd","098222 15460"
"Patel Car Decor","Auto Accessories Store","","bazar, Line","085300 88364"
"Akshay Car Decor","Auto Accessories Store","","Shop No. 1, Gaikwad Complex, Nagar, Manmad Rd, opposite Big Bazar And Premdan Chowk",""
"Garve Škoda Showroom","Auto Accessories Store","","S No 29/1, A/1 B/1, Plot No 32 Nagar Pune Road, Kinetic Chowk Rd","070669 96629"
"Khandelwal automobiles","Auto Accessories Store","","Rungbhawan shopping centre, Sarjepura Rd",""
"Mahindra Cornerstone Automobiles","Car dealer","","·","089292 07412"
"NEXA (Kankariya Automobiles, Ahilya Nagar, MIDC)","Car dealer","","·","080 6251 1867"
"Opg Car Decors : Car Accessories & Car Seatcover Shop In Ahmednagar","Auto Accessories Store","","","082080 27285"
"Mahindra Sablok Cars - SUV Showroom","Car dealer","","·",""
"Shri Ram Car Sajawat","Auto Accessories Store","","Shri Ram Car Sajawat, Shreeram Car Sajawat, Ahilyanagar- Manmad Rd, in front of Saideep Hero Showroom",""
"Darshan Car Decor","Auto Accessories Store","","G-3, Yash Apartment, Nagar, Manmad Rd, near IDBI Bank, opposite Savedi Naka Road",""
"Guru Car sajawat","Auto Accessories Store","","Padmavati Chowk, near Dmart",""
"Shree Krishna Enterprises","Auto parts store","","Sarvadnya, Plot no -13, Chowk Bhiatbaugh Road, behind Anand Saree Center",""
"Yokohama Club Network - Perfect Wheels","Tire shop","","Bholegoan, Phata Nagar, Shirdi Road","070454 76486"
